"farm","flock","flock_duration","amoxicillin_use","ampicillin_use","apramycin_use","cefadroxil_use","cefotaxime_use","ceftiofur_use","cephalexin_use","chloramphenicol_use","ciprofloxacin_use","colistin_use","doxycycline_use","enramycin_use","enrofloxacin_use","erythromycin_use","florfenicol_use","flumequine_use","gentamicin_use","josamycin_use","kitasamycin_use","lincomycin_use","marbofloxacin_use","methenamine_use","neomycin_use","norfloxacin_use","oxytetracycline_use","spectinomycin_use","spiramycin_use","streptomycin_use","sulfachloropyridazine_use","sulfadiazine_use","sulfadimethoxine_use","sulfadimidine_use","sulfaguanidin_use","sulfamethazine_use","sulfamethoxazole_use","sulfamethoxypyridazine_use","sulphamethoxazole_use","sulphathiazole_use","tetracycline_use","thiamphenicol_use","tiamulin_use","tilmicosin_use","trimethoprim_use","tylosin_use","unknown_use","amoxicillin_use_.","ampicillin_use_.","apramycin_use_.","cefadroxil_use_.","cefotaxime_use_.","ceftiofur_use_.","cephalexin_use_.","chloramphenicol_use_.","ciprofloxacin_use_.","colistin_use_.","doxycycline_use_.","enramycin_use_.","enrofloxacin_use_.","erythromycin_use_.","florfenicol_use_.","flumequine_use_.","gentamicin_use_.","josamycin_use_.","kitasamycin_use_.","lincomycin_use_.","marbofloxacin_use_.","methenamine_use_.","neomycin_use_.","norfloxacin_use_.","oxytetracycline_use_.","spectinomycin_use_.","spiramycin_use_.","streptomycin_use_.","sulfachloropyridazine_use_.","sulfadiazine_use_.","sulfadimethoxine_use_.","sulfadimidine_use_.","sulfaguanidin_use_.","sulfamethazine_use_.","sulfamethoxazole_use_.","sulfamethoxypyridazine_use_.","sulphamethoxazole_use_.","sulphathiazole_use_.","tetracycline_use_.","thiamphenicol_use_.","tiamulin_use_.","tilmicosin_use_.","trimethoprim_use_.","tylosin_use_.","unknown_use_."
"75-067",1,21,11,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,11,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,20,12,NA,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,10,NA
"75-067",2,10,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-068",1,18,9,NA,11,NA,NA,NA,NA,NA,NA,12,14,NA,NA,6,14,NA,NA,NA,NA,NA,NA,5,12,NA,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,NA,6,NA,14,NA,9,NA,7,NA,NA,NA,NA,NA,NA,6,4,NA,NA,12,4,NA,NA,NA,NA,NA,NA,13,6,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,NA,12,NA,4,NA
"75-069",1,21,9,NA,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,12,9,NA,12,NA,17,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,13,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,9,12,NA
"75-070",1,20,4,1,NA,NA,NA,NA,NA,NA,NA,12,15,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,15,NA,16,19,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,13,NA,5,NA
"75-070",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,NA
"75-070",3,17,4,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,14,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"75-070",4,16,NA,8,NA,NA,NA,NA,NA,NA,NA,8,12,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,8,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-070",5,18,NA,9,NA,NA,NA,NA,NA,NA,NA,9,14,NA,9,12,2,10,NA,NA,NA,NA,9,NA,8,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,10,9,14,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,4,NA,9,6,16,8,NA,NA,NA,NA,9,NA,10,NA,12,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,8,9,4,NA
"75-070",6,17,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,10,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-070",7,15,4,NA,NA,NA,NA,NA,NA,NA,NA,10,3,NA,NA,10,NA,4,NA,NA,NA,NA,4,NA,NA,NA,10,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,11,NA,NA,7,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,5,NA,11,NA,NA,NA,NA,11,NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,8,NA,NA
"75-070",8,18,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13,9,17,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,16,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,5,9
"75-070",9,16,2,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,9,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"75-070",10,18,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"75-070",11,17,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
"75-070",12,8,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-071",1,18,NA,6,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,12,NA,11,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,NA,7,NA
"75-072",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
"75-072",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-072",3,16,9,NA,NA,14,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA
"75-072",4,19,8,13,NA,NA,NA,NA,NA,NA,NA,7,13,NA,10,NA,2,NA,16,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,11,6,NA,NA,NA,NA,NA,NA,NA,12,6,NA,9,NA,17,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"75-073",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,12,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,7,NA
"75-073",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,5,NA,8,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,18,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,NA,NA,NA,14,NA,11,NA,NA,NA,NA,16,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,14,NA,1,NA,11,NA
"75-074",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,NA,NA,NA,2,NA
"75-074",2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,NA
"75-074",3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"75-074",4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,NA,NA,NA,NA,NA
"75-075",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",1,17,NA,12,NA,NA,NA,NA,NA,NA,NA,12,5,NA,5,NA,NA,NA,9,NA,NA,NA,NA,NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,NA,NA,9,9,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,12,NA,12,NA,NA,NA,8,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,NA,NA,8,8,NA
"75-076",2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",3,15,NA,3,NA,NA,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,9,NA,NA,9,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,13,NA,13,8,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",4,16,NA,3,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,12,8,NA,NA,NA,NA,NA,13,NA,3,NA,NA,3,NA,NA,NA,11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,10,11,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,3,NA,13,NA,NA,13,NA,NA,NA,5,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,6,5,NA
"75-076",5,16,NA,2,9,NA,NA,9,NA,NA,NA,9,NA,NA,NA,8,NA,NA,9,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7,NA,NA,7,NA,NA,NA,7,NA,NA,NA,8,NA,NA,7,NA,NA,NA,NA,NA,7,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-076",8,8,NA,3,2,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-077",1,18,8,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-077",2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,13,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,12,NA
"75-077",3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,3,NA,NA
"75-077",4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA
"75-077",5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,14,NA,NA,NA,NA,NA
"75-077",6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"75-077",7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"75-078",1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75-079",1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,13,NA,NA,13,NA,NA,NA,NA,4,2,NA,10,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,12,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,13,15,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,4,NA
"75-079",2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,16,NA,15,NA,15,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,3,NA,NA,3,NA,NA,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,NA,1,NA,2,NA,2,NA,NA,NA,NA,8,NA,NA,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,NA,14,NA,NA,1,2,NA
"75-079",3,15,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA
"75-079",4,16,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,6,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,10,NA,15,NA,NA,NA
"75-080",1,24,10,NA,NA,NA,NA,NA,NA,NA,NA,11,13,NA,NA,NA,11,NA,NA,NA,NA,11,NA,NA,8,NA,10,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,13,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,13,11,NA,NA,NA,13,NA,NA,NA,NA,13,NA,NA,16,NA,14,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,11,NA
